"","x"
"1004",110.8
"1005",122.25
"1006",109.5
"1007",115
"1008",108.75
"1009",103
"1010",97.5555555555556
"1011",96
"1012",91.5
"1013",91.5
"1014",84.8
"1015",96.75
"1016",99.5
"1017",81.25
"1018",105.5
"1019",100.5
"1020",94.1666666666667
"1021",101.75
"1022",91
"1023",128
"1024",138
"1025",130.6
"1026",135.5
"1027",111.25
"1028",131.2
"1029",104.25
"1030",117.666666666667
"1031",105
"1032",115
"1033",99.6666666666667
"1034",107.333333333333
"1035",96.6666666666667
"1036",103.666666666667
"1037",108.6
"1038",126
"1039",104.4
"1040",108
"1041",107.833333333333
"1042",118
"1043",102.4
"1044",115
"1045",100.5
"1046",108.25
"1047",99.6666666666667
"1048",105.25
"1049",97
"1050",110.5
"1051",105.666666666667
"1052",99.75
"1053",100.25
"1054",86
"1055",82.25
"1056",85
"1057",85.6666666666667
"1058",68
"1059",81.5
"1060",NA
"1061",NA
"1062",NA
"1063",NA
"1064",NA
"1065",NA
"1066",NA
"1067",NA
"1068",NA
"1069",116.5
"1070",121
"1071",105.6
"1072",108.5
"1073",110.5
"1074",126
"1075",120.5
"1076",101.857142857143
"1077",100.666666666667
"1078",112.666666666667
"1079",105.857142857143
"1080",106.125
"1081",102
"1082",144.25
"1083",106
"1084",134
"1085",96.75
"1086",NA
"1087",80
"1088",NA
"1089",78.5
"1090",NA
"1091",NA
"1092",106.666666666667
"1093",109
"1094",106
"1095",99.3333333333333
"1096",108.333333333333
"1097",123.5
"1098",101.714285714286
"1099",116.333333333333
"1100",94.2857142857143
"1101",122
"1102",92.5
"1103",107
"1104",82
"1105",77
"1106",NA
"1107",NA
"1108",148
"1109",141.5
"1110",163
"1111",112
"1112",144.666666666667
"1113",112.7
"1114",140.333333333333
"1115",116.8
"1116",117.2
"1117",129.2
"1118",122
"1119",120.875
"1120",118
"1121",111.1
"1122",119.666666666667
"1123",102.428571428571
"1124",111.6
"1125",114.833333333333
"1126",99.6666666666667
"1127",117.666666666667
"1128",93.2
"1129",106.666666666667
"1130",104
"1131",110
"1132",98.5
"1133",103.2
"1134",87.5
"1135",92.4
"1136",88
"1137",NA
"1138",81
"1139",105.333333333333
"1140",NA
"1141",103
"1142",139
"1143",138
"1144",134.5
"1145",124
"1146",104
"1147",110
"1148",119
"1149",106
"1150",124.5
"1151",110.833333333333
"1152",121.5
"1153",90.1111111111111
"1154",109.5
"1155",100.25
"1156",82
"1157",106.6
"1158",85
"1159",86.5
"1160",85
"1161",85
"1162",80
"1163",84
"1164",76
"1165",80
"1166",79
"1167",106
"1168",79
"1169",120
"1170",130.333333333333
"1171",110.333333333333
"1172",125.333333333333
"1173",NA
"1174",122
"1175",127
"1176",106
"1177",113.4
"1178",101.6
"1179",124.3
"1180",127.5
"1181",118.3
"1182",127.666666666667
"1183",117.333333333333
"1184",129.5
"1185",121
"1186",118.2
"1187",119.75
"1188",101
"1189",116.333333333333
"1190",99.6
"1191",89
"1192",101.2
"1193",89
"1194",94
"1195",96
"1196",117.8
"1197",126.333333333333
"1198",125.25
"1199",116
"1200",115
"1201",110
"1202",113.333333333333
"1203",107
"1204",106.666666666667
"1205",101.666666666667
"1206",108.8
"1207",113
"1208",102.75
"1209",105.166666666667
"1210",89
"1211",94.5
"1212",87.4
"1213",106.5
"1214",114.25
"1215",85
"1216",116.4
"1217",80
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",NA
"1223",NA
"1224",NA
"1225",125.333333333333
"1226",110.2
"1227",120
"1228",89.6
"1229",NA
"1230",70
"1231",136.666666666667
"1232",129.714285714286
"1233",134.666666666667
"1234",117.833333333333
"1235",115
"1236",NA
"1237",129
"1238",128
"1239",125
"1240",119.666666666667
"1241",NA
"1242",118.25
"1243",139
"1244",124.2
"1245",123
"1246",106.666666666667
"1247",95.5
"1248",87
"1249",117
"1250",NA
"1251",117.4
"1252",105
"1253",129
"1254",128
"1255",129
"1256",128
"1257",113.5
"1258",116.5
"1259",114.75
"1260",121
"1261",123
"1262",129.4
"1263",119.5
"1264",116.5
"1265",116
"1266",115.5
"1267",131.2
"1268",123.5
"1269",123
"1270",110
"1271",105.5
"1272",106
"1273",103.4
"1274",120.8
"1275",101.5
"1276",130.666666666667
"1277",111.333333333333
"1278",126.5
"1279",125
"1280",122.5
"1281",123
"1282",118.333333333333
"1283",109.333333333333
"1284",107.75
"1285",106
"1286",106.333333333333
"1287",112
"1288",124
"1289",107
"1290",114.166666666667
"1291",96.5
"1292",126.142857142857
"1293",110.75
"1294",125.25
"1295",116.5
"1296",117.333333333333
"1297",112.6
"1298",111
"1299",146.75
"1300",120.333333333333
"1301",151.666666666667
"1302",110.666666666667
"1303",148.333333333333
"1304",109.666666666667
"1305",135
"1306",121
"1307",122
"1308",115.2
"1309",115.8
"1310",113.333333333333
"1311",114.666666666667
"1312",106
"1313",112.142857142857
"1314",113.8
"1315",103.285714285714
"1316",117.333333333333
"1317",100.333333333333
"1318",105.25
"1319",96
"1320",91.75
"1321",97
"1322",83.6666666666667
"1323",100
"1324",104.4
"1325",110
"1326",112.166666666667
"1327",108
"1328",103.714285714286
"1329",92.5
"1330",103.25
"1331",122
"1332",119.375
"1333",118
"1334",109.625
"1335",115
"1336",77.5
"1337",NA
"1338",NA
"1339",94
"1340",108.5
"1341",110
"1342",114.25
"1343",111
"1344",128
"1345",116
"1346",NA
"1347",NA
"1348",NA
"1349",NA
"1350",124
"1351",123
"1352",NA
"1353",133.666666666667
"1354",NA
"1355",126.5
"1356",118.333333333333
"1357",119.333333333333
"1358",109.6
"1359",123.5
"1360",113.222222222222
"1361",115
"1362",107
"1363",111
"1364",137.333333333333
"1365",106
"1366",129.111111111111
"1367",102
"1368",122
"1369",100.5
"1370",104
"1371",105.4
"1372",106.25
"1373",124
"1374",102
"1375",141.8
"1376",95.6
"1377",131.833333333333
"1378",106.2
"1379",124.75
"1380",106.375
"1381",128.75
"1382",145
"1383",129
"1384",144
"1385",149
"1386",140.5
"1387",137.25
"1388",136.5
"1389",130
"1390",126.333333333333
"1391",NA
"1392",122
"1393",115.5
"1394",113
"1395",123.666666666667
"1396",110.666666666667
"1397",105
"1398",102
"1399",111.875
"1400",94.1666666666667
"1401",118
"1402",127
"1403",114.333333333333
"1404",NA
"1405",112
"1406",NA
"1407",108.333333333333
"1408",91
"1409",130
"1410",102.6
"1411",126.75
"1412",112.5
"1413",125
"1414",122.2
"1415",117.25
"1416",114.5
"1417",113
"1418",104
"1419",101.25
"1420",106
"1421",101.5
"1422",119
"1423",110.142857142857
"1424",108
"1425",83.25
"1426",89.1428571428571
"1427",90.3333333333333
"1428",87.75
"1429",74
"1430",77.5
"1431",72
"1432",135
"1433",131
"1434",129.333333333333
"1435",137
"1436",135
"1437",128
"1438",NA
"1439",167
"1440",144.666666666667
"1441",127.333333333333
"1442",141.333333333333
"1443",125.5
"1444",150
"1445",123.5
"1446",121.5
"1447",117
"1448",125
"1449",117.333333333333
"1450",120
"1451",106.75
"1452",107
"1453",102.857142857143
"1454",109.666666666667
"1455",101.5
"1456",102.6
"1457",95.5
"1458",97.5714285714286
"1459",99.6666666666667
"1460",90.8
"1461",105.285714285714
"1462",98.6
"1463",107
"1464",106.333333333333
"1465",121.5
"1466",121.25
"1467",99
"1468",123.1
"1469",98
"1470",NA
"1471",NA
"1472",NA
"1473",NA
"1474",NA
"1475",153.666666666667
"1476",139
"1477",140
"1478",NA
"1479",109
"1480",106.5
"1481",119.666666666667
"1482",141
"1483",136
"1484",138.5
"1485",117.166666666667
"1486",133.5
"1487",110.333333333333
"1488",125
"1489",113.333333333333
"1490",118
"1491",127.75
"1492",124.6
"1493",129.75
"1494",113.111111111111
"1495",145
"1496",108.2
"1497",156
"1498",129.428571428571
"1499",177
"1500",140
"1501",159.333333333333
"1502",173
"1503",168.666666666667
"1504",NA
"1505",147.5
"1506",NA
"1507",143
"1508",159.5
"1509",141.8
"1510",132.333333333333
"1511",138
"1512",127.25
"1513",131
"1514",151
"1515",127.666666666667
"1516",142.428571428571
"1517",123
"1518",131.6
"1519",125.666666666667
"1520",121.5
"1521",122.25
"1522",127.8
"1523",121
"1524",121
"1525",111
"1526",119.5
"1527",125.090909090909
"1528",128.5
"1529",117.5
"1530",124.5
"1531",111.75
"1532",115
"1533",103.25
"1534",111
"1535",100.333333333333
"1536",108.5
"1537",127.5
"1538",106
"1539",126
"1540",124
"1541",NA
"1542",110.5
"1543",105
"1544",103.5
"1545",124
"1546",119
"1547",126.2
"1548",115.333333333333
"1549",120.142857142857
"1550",108
"1551",115.25
"1552",107.333333333333
"1553",118.125
"1554",119
"1555",115.375
"1556",114.5
"1557",110.1
"1558",97.5
"1559",114.230769230769
"1560",92.3333333333333
"1561",117.875
"1562",120.5
"1563",117.2
"1564",111.333333333333
"1565",119
"1566",113.75
"1567",109
"1568",130.5
"1569",109.5
"1570",131.090909090909
"1571",132
"1572",114.714285714286
"1573",119
"1574",114.8
"1575",128
"1576",117.5
"1577",123.2
"1578",126
"1579",116.666666666667
"1580",NA
"1581",123
"1582",132
"1583",123
"1584",128.25
"1585",146
"1586",137.6
"1587",139
"1588",119.625
"1589",107.333333333333
"1590",104.25
"1591",91
"1592",NA
"1593",128.5
"1594",138
"1595",122
"1596",NA
"1597",118.5
"1598",118.833333333333
"1599",111
"1600",112.555555555556
"1601",117.5
"1602",114
"1603",NA
"1604",114
"1605",NA
"1606",113.666666666667
"1607",110
"1608",114
"1609",109
"1610",131.5
"1611",107.2
"1612",129.25
"1613",113.777777777778
"1614",108.333333333333
"1615",117.666666666667
"1616",111
"1617",112.285714285714
"1618",119.75
"1619",130
"1620",113.75
"1621",119.25
"1622",104.333333333333
"1623",NA
"1624",99.3333333333333
"1625",135.333333333333
"1626",98.3333333333333
"1627",114.25
"1628",132.4
"1629",95
"1630",127.2
"1631",NA
"1632",142.666666666667
"1633",139
"1634",140
"1635",NA
"1636",130.333333333333
"1637",127
"1638",123.6
"1639",110.75
"1640",114.5
"1641",116
"1642",102.5
"1643",114.333333333333
"1644",115
"1645",114.666666666667
"1646",NA
"1647",121.333333333333
"1648",121
"1649",114.333333333333
"1650",106.2
"1651",123.142857142857
"1652",100.2
"1653",131.285714285714
"1654",115.571428571429
"1655",125.142857142857
"1656",118
"1657",107
"1658",125.666666666667
"1659",102.666666666667
"1660",119.5
"1661",106.2
"1662",107.75
"1663",102.2
"1664",115.125
"1665",125
"1666",108.25
"1667",123.333333333333
"1668",126
"1669",125
"1670",129.714285714286
"1671",124.875
"1672",128.428571428571
"1673",124.888888888889
"1674",119
"1675",121
"1676",119.333333333333
"1677",109.888888888889
"1678",117.625
"1679",107.7
"1680",104
"1681",114.25
"1682",97.8571428571429
"1683",103.5
"1684",96.75
"1685",94.3333333333333
"1686",89
"1687",88.5
"1688",87
"1689",88
"1690",NA
"1691",NA
"1692",NA
"1693",NA
"1694",NA
"1695",104.5
"1696",99
"1697",96
"1698",114
"1699",127
"1700",NA
"1701",130.333333333333
"1702",126
"1703",131
"1704",132.5
"1705",123
"1706",109.428571428571
"1707",109
"1708",107.5
"1709",109
"1710",113.333333333333
"1711",NA
"1712",110
"1713",97
"1714",115.666666666667
"1715",NA
"1716",113.333333333333
"1717",108
"1718",113
"1719",108
"1720",113
"1721",138.571428571429
"1722",111.333333333333
"1723",127.823529411765
"1724",116.666666666667
"1725",131.125
"1726",142.5
"1727",144.2
"1728",136.5
"1729",142.5
"1730",138
"1731",135
"1732",129.75
"1733",125.5
"1734",128.333333333333
"1735",120
"1736",118.8
"1737",118
"1738",111.714285714286
"1739",118.833333333333
"1740",109
"1741",119.666666666667
"1742",115.888888888889
"1743",108.75
"1744",114.5
"1745",108
"1746",106.5
"1747",97.6666666666667
"1748",114.5
"1749",112
"1750",111
"1751",114.666666666667
"1752",110.25
"1753",104.666666666667
"1754",108.75
"1755",114.285714285714
"1756",120.666666666667
"1757",114
"1758",111.8
"1759",125.25
"1760",106.6
"1761",128.4
"1762",107.6
"1763",120.25
"1764",113.166666666667
"1765",118.25
"1766",101.5
"1767",105.571428571429
"1768",111.125
"1769",99.6
"1770",100.875
"1771",107.666666666667
"1772",98.6
"1773",110.25
"1774",98.6
"1775",103.25
"1776",93.6
"1777",98.5
"1778",82.4
"1779",132.285714285714
"1780",94.6
"1781",117.25
"1782",143.5
"1783",117.333333333333
"1784",122
"1785",138
"1786",108
"1787",126
"1788",105.833333333333
"1789",83
"1790",101
"1791",NA
"1792",100
"1793",121.666666666667
"1794",101
"1795",126.166666666667
"1796",153
"1797",143.4
"1798",134
"1799",137.333333333333
"1800",114.666666666667
"1801",128.333333333333
"1802",120.833333333333
"1803",114
"1804",104
"1805",137
"1806",78.3333333333333
"1807",NA
"1808",NA
"1809",NA
"1810",104.666666666667
"1811",NA
"1812",95.5
"1813",111.5
"1814",128.4
"1815",101
"1816",120.2
"1817",NA
"1818",NA
"1819",NA
"1820",147.666666666667
"1821",148
"1822",144
"1823",142
"1824",137.5
"1825",133
"1826",100.75
"1827",141
"1828",97
"1829",132
"1830",121.4
"1831",132.666666666667
"1832",115
"1833",133.25
"1834",101
"1835",129.25
"1836",131.5
"1837",124.8
"1838",127.181818181818
"1839",117
"1840",115.8
"1841",119
"1842",118.5
"1843",114.285714285714
"1844",116.818181818182
"1845",119.857142857143
"1846",119.375
"1847",111.666666666667
"1848",116.3
"1849",104
"1850",104.75
"1851",95.3333333333333
"1852",92.25
"1853",89
"1854",88.5
"1855",86.3333333333333
"1856",83
"1857",85
"1858",NA
"1859",NA
"1860",NA
"1861",NA
"1862",NA
"1863",NA
"1864",NA
"1865",157.333333333333
"1866",NA
"1867",139.666666666667
"1868",NA
"1869",NA
"1870",NA
"1871",110.666666666667
"1872",NA
"1873",108.666666666667
"1874",NA
"1875",101.666666666667
"1876",NA
"1877",112.8
"1878",148
"1879",104.2
"1880",150.5
"1881",117.142857142857
"1882",130
"1883",121.909090909091
"1884",153.5
"1885",127.111111111111
"1886",87
"1887",128.5
"1888",134.5
"1889",132
"1890",132.5
"1891",127
"1892",137.833333333333
"1893",121.666666666667
"1894",128.444444444444
"1895",116
"1896",121.125
"1897",110.75
"1898",115.75
"1899",107.5
"1900",127.25
"1901",92
"1902",135.666666666667
